ime|sestavine|kolicina|kcal|Maščobe|od tega nasičene maščobe|Ogljikovi hidrati|od tega sladkorji|Prehranske vlaknine|Beljakovine|Sol
Sveži kremni sir, min. 30% suhe snovi in min. 60% mlečne maščove v suhi snovi|MLEKO, SMETANA, kuhinjska sol.|200g|241,00|22,50 g|15,90 g|3,00 g|3,00 g|0,0 g|6,50 g|0,80 g
ABC sveži kremni sir s šunko, min. 30% suhe snovi in min. 60% mlečne maščobe v suhi snovi|PASTERIZIRANO MLEKO, PASTERIZIRANA SMETANA, morska sol, kuhana šunka 8,00 %, voda, kuhinjska sol, gostilo e407, stabilizator e450 in e451, antioksidant e316 in e330, konzervans e250, aroma prekajene šunke.|100g|238,00|22,00 g|15,80 g|2,70 g|2,50 g|0,0 g|7,20 g|1,10 g
Ješprenj 1 kg|OLUŠČEN JEČMEN 100,00 %.|1kg|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Oluščeni ječmen|OLUŠČEN JEČMEN 100,00 %.|500g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
PEČENKA PUR.MESA 600G|puranje krače brez kosti in kože 64,00 %, voda, slanina, kuhinjska sol, antioksidanti (e331 = natrijev citrat, e300 = askorbinska kislina, e330 = citronska kislina, e392 = izvleček rožmarina), škrob, konzervans (e262 = natrijev acetat), začimbe, ekstrakti začimb, DROBTINE (VSEBUJEJO GLUTEN), prehranska vlakna.|600g|204,00|12,00 g|3,40 g|10,00 g|0,50 g|0,0 g|14,00 g|1,30 g
PEČENKA PUR.MESA 600G|puranje krače brez kosti in kože 64,00 %, voda, slanina, kuhinjska sol, antioksidanti (e331 = natrijev citrat, e300 = askorbinska kislina, e330 = citronska kislina, e392 = izvleček rožmarina), škrob, konzervans (e262 = natrijev acetat), začimbe, ekstrakti začimb, DROBTINE (VSEBUJEJO GLUTEN), prehranska vlakna.|600g|204,00|12,00 g|3,40 g|10,00 g|0,50 g|0,0 g|14,00 g|1,30 g
Goveja juha s testeninami in mesom. Dehidrirani izdelek.|TESTENINE (DURUM PŠENIČNI ZDROB, JAJCA) 62,00 %, jedilna sol, sladkor, palmova maščoba, sušena zelenjava (čebula, korenje, ZELENA, rdeča paprika, ohrovt, por), izvlečki kvasa, sušeni goveji mesni izvleček 1,90 %, sušeno goveje meso 1,80 %, koruzni škrob, goveji loj, aroma, PŠENIČNI ZDROB, začimbe, JAJČNI BELJAK V PRAHU, list peteršilja, barvilo (karamel), antioksidant (izvlečki rožmarina).|60g|20,00|0,50 g|0,20 g|3,20 g|0,60 g|0,50 g|0,80 g|0,92 g
Goveja juha s testeninami. Dehidrirani izdelek.|TESTENINE 66% (PŠENIČNA MOKA, JAJCA), jedilna sol, hidrogenirana rastlinska maščoba, ojačevalci arome (mononatrijev glutamat, dinatrijev inozinat, dinatrijev gvanilat), sušena zelenjava (pastinak, korenje, čebula), goveji loj, sladkor, izvleček kvasa, hidrolizirani koruzni protein, barvilo (karamel), aroma, sušeni goveji mesni ekstrakt, sušeno govejo meso 0,5%, začimbe, list peteršilja, maltodekstrin.|65g|358,00|10,00 g|0,00 g|56,00 g|0,00 g|0,0 g|11,00 g|0,00 g
Kokošja juha s testeninami. Dehidrirani izdelek.|TESTENINE 65% (DURUM PŠENIČNI ZDROB, JAJCA), kuhinjska sol, palmova maščoba, ojačevalca arome (mononatrijev glutamat, dinatrijev inozinat), sušena zelenjava (korenje, čebula, ZELENA), sušeni kokošji ekstrakt 2,00 %, koruzni škrob, sladkor, kokošja maščoba, začimbe, barvilo (karamel), list peteršilja.|62g|362,00|10,00 g|6,00 g|55,00 g|5,30 g|0,0 g|13,00 g|15,20 g
KAVNI NAPITEK IZ MLEKA IN SMETANE S KAVO ARABICA. Pasterizirano.|POLNOMASTNO MLEKO 73,00 %, kava 17,00 %, SMETANA 5,00 %, sladkor, stabilizatorja: natrijev hidrogenkarbonat, karagenan.|0,25l|83,00|4,10 g|2,60 g|8,50 g|8,50 g|0,20 g|2,90 g|0,18 g
MLETA KAVA CLASSIC, BARCAFFE, 100G|mešanica mlete pražene kave 100,00 %.|100g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Mešanica mlete pražene kave 100,00 %.|mešanica pražene kave v zrnu 100,00 %.|500g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Instant mešanica z ekstraktom kavnega nadomestka za žitno kavo.|sladkor, EKSTRAKT KAVNEGA NADOMESTKA V PRAHU (JEČMEN, JEČMENOV SLAD, CIKORIJA) 15,00 %, POSNETO MLEKO V PRAHU, manjmasten kakav prah, jedilna sol, aroma, sredstvo za uravnavanje kislosti: trinatrijev citrat, emulgator: sojin lecitin.|400g|380,00|0,30 g|0,20 g|89,20 g|77,70 g|0,0 g|4,70 g|0,22 g
"GEA ekstra deviško oljčno olje Avantgarde
Oljčno olje višje kategorije, pridobljeno neposredno iz oljk in zgolj z mehanskimi postopki."|jedilno ekstra deviško oljčno olje 100,00 %.|1l|900,00|100,00 g|16,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
"GEA oljčno olje
Mešanica rafiniranega oljčnega olja in ekstra deviškega oljčnega olja. Olje, ki vsebuje zgolj rafinirana oljčna olja in olja pridobljena neposredno iz oljk."|ekstra deviško oljčno olje 100,00 %.|0,5l|900,00|100,00 g|16,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
"GEA ekstra deviško oljčno olje
Oljčno olje višje kategorije, pridobljeno neposredno iz oljk in zgolj z mehanskimi postopki."|jedilno ekstra deviško oljčno olje 100,00 %.|0,25l|900,00|100,00 g|16,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
GEA konopljino olje jedilno hladno stiskano|jedilno hladno stiskano konopljino olje 100,00 %.|0,25l|900,00|100,00 g|9,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
