ime|sestavine|kolicina|kcal|Maščobe|od tega nasičene maščobe|Ogljikovi hidrati|od tega sladkorji|Prehranske vlaknine|Beljakovine|Sol
ČILI OMAKA ZA ZVITKE|sladkor, voda, rdeč čili 14,00 %, repa, korenček, jedilna sol, ksantogenska smola.|290g|261,00|0,00 g|0,00 g|64,90 g|60,90 g|0,0 g|0,50 g|1,70 g
ČIPS Z RAKCI|tapiokin škrob, voda, RAKCI 3,40 %, sol, sladkor, mononatrijev glutamat.|227g|345,00|0,50 g|0,00 g|77,30 g|4,20 g|0,0 g|6,80 g|2,60 g
Mlečni puding vanilija|PATERIZIRANO MLEKO Z 2% MLEČNE MAŠČOBE 85,00 %, sladkor, koruzni in krompirjev škrob, gostilo: E407, sredstvo za uravnavanje kislosti: E3331, jedilna sol, aroma, barvila: beta-karoten in riboflavin.|125g|93,00|1,60 g|1,00 g|17,00 g|13,00 g|0,0 g|2,70 g|0,17 g
Mlečni puding čokolada|PASTERIZIRANO POL POSNETO MLEKO Z 1,6% MLEČNE MAŠČOBE 83,00 %, sladkor, KORUZNI IN KROMPIRJEV ŠKROB, ČOKOLADA V PRAHU (EMULGATOR: SOJIN LECITIN) 1,70 %, kakavov prah, gostilo: E407, sredstvo za uravnavanje kislosti: E3331, jedilna sol, aroma.|125g|97,00|1,60 g|1,00 g|18,00 g|13,50 g|0,0 g|2,70 g|0,17 g
Fino pekovsko biskvitno pecivo s pomarančnim polnjenjem (53%), delno oblito s temno čokolado (19%)|sladkor, glukozni-fruktozni sirup, PŠENIČNA MOKA, kakavova masa, palmovo olje, JAJCA, koncentrat pomarančnega soka, kakavovo maslo, stabilizator: sorbit, EMULGATORJA: MONO- IN DIGLICERIDI IZ JEDILNIH MAŠČOBNIH KISLIN (SOJA), LECITIN (SOJA), sredstvo za želiranje: pektin, sredstvo za uravnavanje kislosti: citronska kislina, IZDELKI IZ SIROTKE, arome, sredstvi za vzhajanje: natrijev karbonat, difosfat, ŠKROB (PŠENIČNI).|100g|411,00|15,00 g|8,20 g|64,00 g|48,00 g|2,30 g|3,80 g|0,11 g
LEDENA KAVA 1 LIT|MLEKO Z 1,5 % MLEČNE MAŠČOBE, sladkor, kava instant, karamelni sladkorni sirup, glukozni sirup, stabilizato natrijev karbonat, AROMA (VSEBUJE LAKTOZO), sol, stabilizator karagenan.|1l|66,00|1,57 g|0,97 g|9,40 g|5,85 g|0,0 g|3,55 g|0,17 g
Malizia losijon po britju Vetyver 100ml|ALCOHOL DENAT., AQUA, PROPYLENE GLYCOL, PARFUM, PEG-40 HYDROGENATED CASTOR OIL, PANTHENOL, MENTHOL, BHT, HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE, LIMONENE, BENZYL BENZOATE, LINALOOL, EUGENOL, BUTYLPHENYL METHYLPROPIONAL, CITRAL, CI 42090, CI 19140.|0,1l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Mlečna čokolada z alpskim mlekom z lomljenimi lešniki.|sladkor, kakavovo maslo, POSNETO MLEKO V PRAHU, kakavova masa, LEŠNIKI 9,00 %, SIROTKA V PRAHU (IZ MLEKA), MLEČNA MAŠČOBA, EMULGATOR (SOJIN LECITIN), LEŠNIKOVA PASTA, aroma.|100g|543,00|32,00 g|17,00 g|54,00 g|53,00 g|0,0 g|7,10 g|0,34 g
Bela čokolada.|sladkor, kakavovo maslo, POSNETO MLEKO V PRAHU, SIROTKA V PRAHU (IZ MLEKA), MLEČNA MAST, EMULGATOR (SOJIN LECITION), aroma.|100g|540,00|29,50 g|18,00 g|63,00 g|63,00 g|0,0 g|4,80 g|0,18 g
Švicarska mlečna čokolada z medom in mandljevim nugatom (10%).|sladkor, POLNO MLEKO V PRAHU, kakavovo maslo, kakavova masa, med 3,00 %, MLEČNA MAŠČOBA, MANDLJI 1,60 %, EMULGATOR (SOJIN LECITIN), JAJČNI BELJAK, aroma.|100g|535,00|32,50 g|19,50 g|50,50 g|47,00 g|8,80 g|6,30 g|0,03 g
Dana nektar jagoda - sadni nektar iz jagod in jabolk iz jagodne in jabolčne kaše ter zgoščenega jabolčnega soka. Sadni delež: MIN 45 %.|voda, jagodna kaša 23,00 %, jabolčna kaša 13,00 %, jabolčni sok 9,00 %, sladkor, sok črnega korena 1,00 %, kislina (citronska kislina).|1l|48,00|0,00 g|0,00 g|12,00 g|11,80 g|0,0 g|0,00 g|0,00 g
Fin pekovski izdelek. Vafelj izdelek s polnilom čokoladnega okusa (25%) oblit z mlečno čokolado z alpskim mlekom (58%).|sladkor, PŠENIČNA MOKA, kakavovo maslo, rastlinske maščobe (kokos, palma), SIROTKA V PRAHU (IZ MLEKA), POSNETO MLEKO V PRAHU, kakavova masa, MLEČNA MAŠČOBA, EMULGATORJI (SOJIN LECITIN, E476, SONČNIČNI LECITIN), sončnično olje, jedilna sol, kavni ekstrakt, arome.|33g|535,00|30,00 g|19,50 g|59,50 g|44,00 g|0,0 g|6,30 g|0,40 g
Multivitaminska negazirana brezalkoholna pijača z mešanim sadnim sokom.|voda 85,65 %, sladkor 11,55 %, citronska kislina 0,41 %, sadna baza 2,39 %.|0,5l|46,50|0,10 g|0,10 g|11,10 g|11,10 g|0,0 g|0,10 g|0,07 g
Naravna mineralna voda, Donat, 0,5L|značilni minerali: magnezij, natrij, kalcij, sulfat hidrogenkarbonat.|0,5l|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
DANA NEKTAR JABOLKO - JABOLČNI NEKTAR IZ ZGOŠČENEGA JABOLČNEGA SOKA. SADNI DELEŽ MIN. 50%|jabolčni sok, voda, sladkor, kislina (citronska kislina).|1l|40,00|0,00 g|0,00 g|10,00 g|9,80 g|0,0 g|0,00 g|0,00 g
SIR CAMEMBERT 125g z belo plesnijo. Mehki zorjeni sir s 50 % m.m. s.s., toplotno obdelan.|PASTERIZIRANO KRAVJE MLEKO, mlečne bakterijske kulture, sol, neživalsko sirilo, p. candidum.|125g|305,00|25,00 g|17,00 g|1,00 g|1,00 g|0,0 g|2,00 g|2,00 g
MLEČNA REZINA KINDER MILCH SCHNITTE, 30G|PASTERIZIRANO MLEKO 40,00 %, palmovo olje, sladkor, PŠENIČNA MOKA 10,00 %, POSNETO MLEKO V PRAHU 9,00 %, med 5,00 %, MLEČNA MAŠČOBA, JAJCA V PRAHU, manj masten kakav v prahu, FINI PŠENIČNI OTROBI, sredstva za vzhajanje (dinatrijev difosfat, natrijev hidrogenkarbonat, amonijev karbonat), emulgator (mono-in digliceridi maščobnih kislin), jedilna sol, arome.|28g|422,00|27,90 g|16,60 g|34,00 g|29,50 g|0,0 g|7,90 g|0,61 g
MLEČNA REZINA KINDER PINGUI, 30G|PASTERIZIRANO MLEKO 24,00 %, čokolada (sladkor, kakavova masa, kakavovo maslo) 21,00 %, sladkor, palmino olje 21,00 %, POSNETO MLEKO V PRAHU, PŠENIČNA MOKA, kakavovo maslo, MLEČNA MAŠČOBA, dekstroza, mlečna čokolada (sladkor, POLNOMASTNO MLEKO V PRAHU, kakavovo maslo, kakavova masa, EMULGATOR: SOJIN LECITIN), manj masten kakav v prahu, JAJCA V PRAHU, kvas, arome, emulgator (mono- in digliceridi maščobnih kislin), jedilna sol, SLADNI EKSTRAKT JEČMENA V PRAHU, emulgator (mono- in digliceridi maščobnih kislin), jedilna sol, sadni ekstrakt v prahu.|30g|450,00|29,70 g|20,00 g|37,80 g|33,10 g|0,0 g|7,00 g|0,25 g
NAPITEK ISOTONIC, RAUCH, 0,5L|voda, zgoščeni pomarančni sok in limonin sok, saharoza, maltodekstrin, citronska kislina, ogljikova kislina, aroma, mineralne soli, vitamini.|0,5l|31,00|0,10 g|0,10 g|7,30 g|6,40 g|0,10 g|0,10 g|0,12 g
NAPITEK ZA OTROKE Z SLIVO|sok sliv 71,50 %, voda, sladkor 9,00 %.|0,2l|44,00|0,00 g|0,00 g|10,90 g|10,50 g|0,30 g|0,00 g|0,05 g
100% BIO Jabolčni sok 0,2l|sadni delež 100,00 %, ekološke pridelave.|0,2l|49,00|0,04 g|0,01 g|12,00 g|11,00 g|0,0 g|0,10 g|0,05 g
ČOKOLADNO MLEKO Steriliziran in homogeniziran mlečni napitek z okusom čokolade.|MLEKO Z 2% MLEČNE MAŠČOBE, sladkor 5,00 %, čokolada v prahu 2,00 %, kakav v prahu 0,20 %, stabilizator karagenan, EMULGATOR:SOJIN LECTIN, aroma vanilije.|1l|74,00|2,20 g|1,30 g|10,00 g|10,00 g|0,0 g|3,50 g|0,16 g
Fini pekovski izdelek. Masleni keks.|PŠENIČNA MOKA, sladkor, MASLO (MLEKO) 7,00 %, rastlinska maščoba (palma, shea), med, sredstva za vzhajanje: e503, e500, dekstroza, LAKTOZA (MLEKO), jedilna sol, sredstvo za uravnavanje kislosti e341, aroma.|960g|407,00|12,40 g|5,10 g|64,90 g|16,60 g|3,00 g|7,40 g|0,40 g
Pšenična bela moka tip 400|PŠENIČNA MOKA T400 100,00 %.|5kg|347,00|1,00 g|0,10 g|72,00 g|0,80 g|0,0 g|10,60 g|0,00 g
RIŽEVI REZANCI TANKI|riževa moka 90,00 %, voda 10,00 %.|250g|363,00|0,20 g|0,00 g|84,00 g|0,00 g|0,0 g|6,30 g|0,00 g
Osvežilna gazirana brezalkoholna pijača iz rastlinskih izvlečkov.|voda, fruktozno-glukozni sirup, ogljikov dioksid, barvilo (e150d), kislina (fosforjeva kislina), naravne arome (vključno z aromo kofeina).|0,33l|45,00|0,00 g|0,00 g|11,20 g|11,20 g|0,0 g|0,00 g|0,00 g
Wiener Zucker želirni sladkor 1:1|sladkor 98,00 %, želirno sredstvo pektin 1,00 %, citronska kislina 1,00 %.|1kg|396,00|0,00 g|0,00 g|98,50 g|98,50 g|0,0 g|0,00 g|0,02 g
MEŠANICA PRAŽENE KAVE V ZRNU ESPRESSO BARCAFFE, 1KG|mešanica pražene kave v zrnu 100,00 %.|1kg|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Flips iz pšenice in krompirja|PŠENIČNA MOKA 41,00 %, sončnično olje, krompir v prahu 19,00 %, krompirjev škrob, sol, AROMA (VSEBUJE MLEKO), izvleček kvasa, čebula v prahu, HIDROLIZIRANE SOJINE BELJAKOVINE, barvila (amonijev karamel, izvleček paprike, karmini, karoten), začimba, aroma dima.|65g|499,00|26,00 g|2,40 g|58,00 g|2,70 g|3,10 g|6,70 g|2,60 g
Flips iz pšenice in krompirja|PŠENIČNA MOKA 50,00 %, sončnično olje, krompir v prahu 20,00 %, jedilna sol, naravna aroma, SLADKA SIROTKA V PRAHU, začimba, izvleček kvasa, emulgator: mono- in digiceridi maščobnih kislin, aroma dima.|65g|471,00|22,00 g|2,10 g|58,00 g|2,40 g|0,0 g|8,20 g|2,40 g
Slano pecivo|PŠENIČNA MOKA, sol 4,00 %, palmovo olje, sredstvo za uravnavanje kislosti (natrijev hidroksid), PŠENIČNI SLAD V PRAHU, emulgator (mono- in digliceridi maščobnih kislin), LAHKO VSEBUJE SLEDI SEZAMA.|250g|374,00|3,70 g|2,00 g|72,00 g|1,10 g|0,0 g|11,00 g|5,40 g
Sardine v rastlinskem olju z limono|SARDELE (SARDINA PILCHARDUS) 70,00 %, SOJINO OLJE 27,00 %, limona 2,80 %, kuhinjska sol.|115g|365,00|33,00 g|4,90 g|0,00 g|0,00 g|0,0 g|17,00 g|0,95 g
FIŽIL BORLOTTI|suhi fižol borlotti.|500g|312,00|1,20 g|0,30 g|45,00 g|2,40 g|15,00 g|23,00 g|0,03 g
FIŽOČL CANNELLINI|suhi fižol cannellini.|500g|317,00|1,70 g|0,40 g|44,00 g|4,00 g|17,00 g|23,00 g|0,05 g
JEDILNO RAFINIRANO ARAŠIDOVO OLJE.|JEDILNO RAFINIRANO ARAŠIDOVO OLJE.|1l|819,00|91,00 g|15,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
Desertni preliv s čokolado|sladkor, voda, glukozni sirup, MLEKO V PRAHU, manjmasten kakav prah 6,50 %, gostili: E1422 in E401, jedilna sol, stabilizator E339, konzervans E202, aroma.|960g|273,00|2,80 g|1,20 g|57,70 g|51,60 g|0,0 g|3,40 g|0,25 g
ŽVEČILNI GUMI MENTHOL&EUCALYPTUS, AIRWAVES, 14G|sorbitol, izomalt, maltitol v sirupu, aspartam, soli aspartam-acesulfama, acesulfam k, gumijeva baza, VSEBUJE SOJIN LECITIN, sredstvo za glaziranje kalcijev karbonat, arome, sredstvo za zgostitev gumi arabicum, sredstvo za ohranjanje vlage glicerol, barvilo E171, sredstvo za glaziranje karnauba vosek, antioksidant bha, barvilo E133, barvilo E160a.|14g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
NERAFINIRANI TRSNI RJAVI SLADKOR V KOCKAH|nerafinirani trsni rjavi sladkor 100,00 %.|500g|400,00|0,00 g|0,00 g|100,00 g|100,00 g|0,0 g|0,00 g|0,00 g
NERAFINIRANI TRSNI RJAVI SLADKOR|nerafnirani trsni rjavi sladkor 100,00 %.|500g|400,00|0,00 g|0,00 g|100,00 g|100,00 g|0,0 g|0,00 g|0,00 g
Cmoki z mareličnim nadevom, Hitro zamrznjen izdelek iz krompirjevega testa z nadevom, ki ga je treba termično obdelati po navodilih proizvajalca.|voda, marelični nadev (marelice 45 %, sladkor, voda, modificiran škrob, kislina: citronska kislina, konzervans: kalijev sorbat, barvilo: beta karoten, aroma) 20,00 %, PŠENIČNA BELA MOKA, krompirjevi kosmiči (krompir, emulgator: E471, ANTIOKSIDANTA: NATRIJEV METABISULFIT (VSEBUJE ŽVEPLOV DIOKSID), E304i, kurkuma, izvleček paprike) 13,00 %, SKUTA, JAJCA, koruzni škrob, margarina [rastlinska olja (palma, repica), voda, emulgator: e 471, jedilna sol, sredstvo za uravnavanje kislosti: citronska kislina, aroma], jedilna sol, riževa moka.|500g|176,00|2,50 g|1,00 g|32,00 g|7,40 g|1,40 g|5,20 g|0,90 g
Kefir iz pasteriziranega mleka z 1,5% m.m.|MLEKO 100,00 %, (LASTNA KEFIRJEVA KULTURA).|750g|42,00|1,50 g|1,00 g|3,80 g|2,40 g|0,0 g|3,20 g|0,04 g
Cmoki z borovničevim nadevom, Hitro zamrznjen izdelek iz krompirjevega testa z nadevom, ki ga je treba termično obdelati po navodilih proizvajalca.|voda, borovničev nadev (sladkor, borovnice (20 %), glukozni sirup, zgoščeni sok borovnic (3 %), modificiran škrob: e1442, želirno sredstvo: pektin, kislina: citronska kislina, stabilizator: e333, konzervans: e202, aroma) 20,00 %, PŠENIČNA BELA MOKA, krompirjevi kosmiči (krompir, emulgator: E471, ANTIOKSIDANTA: NATRIJEV METABISULFIT (VSEBUJE ŽVEPLOV DIOKSID), E304i, kurkuma, izvleček paprike) 13,00 %, SKUTA, JAJCA, koruzni škrob, margarina [rastlinska olja (palma, repica), voda, emulgator: e 471, jedilna sol, sredstvo za uravnavanje kislosti: citronska kislina, aroma], jedilna sol, riževa moka.|500g|184,00|2,50 g|0,90 g|34,20 g|9,60 g|1,80 g|5,10 g|0,90 g
Mlečna čokolada s celimi lešniki|sladkor, LEŠNIKI 25,00 %, MLEKO V PRAHU, kakavovo maslo, kakavova masa, EMULGATOR (SOJIN LECITIN), aroma: naravni ekstrakt vanilije.|1kg|595,00|42,00 g|20,00 g|45,00 g|40,00 g|0,0 g|9,30 g|0,10 g
Dolgozrnati nebrušen parboiled riž|riž 100,00 %.|500g|348,00|2,40 g|0,70 g|74,00 g|0,50 g|2,90 g|7,50 g|0,01 g
Prašek za instant kremo za kremne rezine.|sladkor, POLNOMASTNO MLEKO V PRAHU, modificiran krompirjev škrob, stabilizator: natrijev difosfat, sredstvo za uravnavanje kislosti: kalcijev acetat, gostilo: karagenan, barvilo: karoten, aroma.|500g|119,00|2,60 g|1,70 g|21,00 g|17,00 g|0,0 g|2,70 g|0,30 g
DOLFO RUMENA REBULA|ŽVEPLO - SULFIT.|0,75l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Osvežilna gazirana brezalkoholna pijača z okusom kole.|voda, sladkor, ogljikov dioksid, barvilo: E150d, kislina: fosforjeva (v) kislina, aroma: kofein in naravna aroma, stabilizator: gumi arabikum.|0,5l|43,00|0,00 g|0,00 g|10,70 g|10,60 g|0,0 g|0,00 g|0,01 g
ČOKOLADNA BANANICA, ŠTARK, 25G|sladkor, glukozni sirup, voda, kakavova masa, dekstroza, kakavovo maslo, želirno sredstvo (e 406), kislina (citronska kislina), JAJČNI BELJAK V PRAHU (0,16%), emulgatorja (sojin lecitin in e 476), arome, naravna aroma, barvilo (ekstrakt žafranike). čokoladni preliv vsebuje min. 56% kakavovih delov.|25g|371,00|7,60 g|4,40 g|74,20 g|48,50 g|0,0 g|12,50 g|2,20 g
ČOKOLADNE PRALINE POCKET COFFEE, FERRERO, 18/1, 225G|oslajena tekoča kava 54% (sladkor, tekoča kava 34%), čokolada 23% (kakavova masa, sladkor, kakavovo maslo, kavni ekstrakt, EMULGATOR: LECITINI (SOJA); vanilin), MLEČNA ČOKOLADA 14,5% (POLNOMASTNO MLEKO V PRAHU, sladkor, kakavova masa, kakavovo maslo, kavni ekstrakt, EMULGATOR: LECITINI (SOJA), vanilin), kakavovo maslo, kakavova masa, LAKTOZA, sladkor, kavni ekstrakt, EMULGATOR: LECITINI (SOJA), vanilin.|225g|440,00|20,50 g|13,30 g|58,80 g|56,60 g|0,0 g|3,50 g|0,05 g
PŠENIČNA MOKA GLADKA, T400, FARINA, 1KG|PŠENIČNA MOKA 100,00 %.|1kg|339,00|1,00 g|0,20 g|71,00 g|1,60 g|0,0 g|10,00 g|0,01 g
MOKA FARINA NAMENSKA 2,5KG|PŠENIČNA MOKA 100,00 %.|2,5kg|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Mešanica praženih in soljenih oreškov|JEDRCA PRAŽENIH INDIJSKIH OREŠKOV, LEŠNIKOVA JEDRCA BLANŠIRANA PRAŽENA, PRAŽENI BLANŠIRANI MANDLJI, palmovo olje, jedilna sol, ARAŠIDOVO OLJE.|100g|641,00|55,00 g|9,00 g|13,00 g|4,70 g|5,00 g|21,00 g|0,96 g
ČIČERIKA|suha čičerika.|500g|351,00|6,10 g|0,60 g|48,00 g|3,80 g|14,00 g|20,00 g|0,05 g
ZELENI ČAJ|kitajski zeleni čaj.|36g|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
Vitergin gozdni sadeži, sadni bombon z vitamini.|dekstroza 86,00 %, koruzni škrob, polivinilpirolidon (stabilizator), smukec, citronska kislina (kislina), magnezijev stearat (sredstvo proti sprijemanju), aroma, sadje v prahu 0,50 %, vitamini.|24g|361,00|1,00 g|1,00 g|86,00 g|80,00 g|0,0 g|1,00 g|0,00 g
Vitergin pomaranča, sadni bombon z vitamini.|dekstroza 86,00 %, koruzni škrob, polivinilpirolidon (stabilizator), smukec, citronska kislina (kislina), magnezijev stearat (sredstvo proti sprijemanju), aroma, sadje v prahu 0,50 %, vitamini.|24g|361,00|1,00 g|0,10 g|86,00 g|80,00 g|0,0 g|1,00 g|0,00 g
Testo sveže vlečeno. Delno sušeno vlečeno testo, ki ga je potrebno termično obdelati po navodilih proizvajalca.|PŠENIČNA MOKA TIP 500, voda, sončnično olje, koruzni škrob, JAJCA, PŠENIČNI GLUTEN, jedilna sol, SUHO RŽENO KISLO TESTO (RŽENA MOKA, MLEČNO-KISLINSKE BAKTERIJE), sredstvo za uravnavanje kislosti: kalcijev acetat, sredstvo za obdelavo moke: l-cistein.|500g|290,00|4,20 g|0,70 g|51,00 g|2,20 g|3,90 g|10,10 g|1,00 g
Svaljki krompirjevi s skuto, Hitro zamrznjen izdelek iz krompirjevega testa, ki ga je potrebno termično obdelati po navodilih proizvajalca.|voda, PŠENIČNA BELA MOKA, krompirjevi kosmiči (krompir 15,00 %, emulgator: E471, ANTIOKSIDANTA: NATRIJEV METABISULFIT (VSEBUJE ŽVEPLOV DIOKSID), E304i, kurkuma, izvleček paprike), SVEŽI SIR - SKUTA 10,00 %, JAJCA, riževa moka, koruzni škrob, margarina (rastlinska olja (palma, repica), voda, emulgator: e 471, jedilna sol, sredstvo za uravnavanje kislosti: citronska kislina, aroma), jedilna sol.|1kg|205,00|3,20 g|1,10 g|36,90 g|4,50 g|1,30 g|6,50 g|1,10 g
Svetlo pivo, alk. 4,5 vol.%|voda, hmelj, JEČMENOV SLAD, JEČMEN.|0,33l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
MEŠANICA PRAŽENE MLETE KAVE ZA PRIPRAVO TURŠKE KAVE|kava.|100g|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
Hren delikatesni v tubi|hren 50,00 %, voda, repično olje, alkoholni kis, sladkor, gostili: guar gumi in ksantan gumi, jedilna sol, citronska kislina, SLADKA SIROTKA V PRAHU, POSNETO MLEKO V PRAHU, NATRIJEV METABISULFIT, MLEČNE BELJAKOVINE.|180g|152,00|9,70 g|0,70 g|12,00 g|9,00 g|3,70 g|2,60 g|0,38 g
POLI MAXI PP|piščančje meso 72,00 %, voda, piščančje kožice, sol, dekstroza, stabilizator e450, prehranske vlaknine, antioksidant e301, začimbe, ekstrakti začimb, konzervans e250.|1kg|953,00|20,00 g|5,80 g|0,50 g|0,50 g|0,0 g|12,00 g|2,20 g
Fino pekovsko pecivo - masleni keksi s temno čokolado (63%)|sladkor, PŠENIČNA MOKA, kakavova masa, kakavovo maslo, maslo 3,70 %, glukozni sirup, IZDELKI IZ SIROTKE, maslena maščoba, sredstvi za vzhajanje: natrijev karbonat, difosfat, EMULGATOR: LECITIN (SOJA), MLEKO V PRAHU, jedilna sol, sredstvo za uravnavanje kislosti: citronska kislina, arome, JAJČNI RUMENJAK V PRAHU.|125g|498,00|25,00 g|16,00 g|58,00 g|33,00 g|6,00 g|7,20 g|0,53 g
Prebranec, gotova sterilizirana fižolova jed|voda, fižol 37,00 %, čebula 7,00 %, sončnično olje, MEŠANICA ZAČIMB (PŠENIČNA MOKA, SUŠENA ZELENJAVA (ZELENA, čebula, korenje, paradižnik, peteršilj), koruzni škrob, sladka paprika, ojačevalci okusa: mononatrijev glutaminat, dinatrijev inozinat, sladkor, palmina maščoba, ekstrakt kvasa, sušen česen, začimbe, barvilo: izvleček paprike, jedilna sol, pekoča pikantna paprika, aroma), jedilna sol, začimbe, naravna aroma.|415g|93,00|3,10 g|0,60 g|7,90 g|2,20 g|6,70 g|5,10 g|1,20 g
ZVEZDA olje za cvrtje - jedilno rafinirano sončnično olje|jedilno rafinirano sončnično olje 100,00 %, (antioksidant propil galat, antioksidant galat (e310)).|1l|900,00|100,00 g|10,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
ZVEZDA olje za cvrtje jedilno rafinirano sončnično olje|jedilno rafinirano sončnično olje, (antioksidant propil galat, antioksidant propil galat (e310)).|2l|900,00|100,00 g|10,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
Pasulj brez mesa|voda, beli fižol 38,00 %, čebula, PŠENIČNA MOKA, paradižnikov koncentrat, jedilna sol, sušena zelenjava 15 % (korenje, pastinak, krompir, čebula, listna zelena, peteršilj), OJAČEVALCA AROME: MONONATRIJEV GLUTAMAT, DINATRIJEV INOZINAT, sladkor, začimbe, koruzni škrob, barvilo:riboflavini, naravna aroma.|415g|72,00|26,80 g|3,80 g|6,80 g|5,20 g|2,40 g|1,60 g|1,00 g
Intesa deodorant Ambra 125ml|ALCOHOL DENAT., DIMETHYL ETHER, BUTANE, ISOBUTANE, PARFUM, C12-13 ALKYL LACTATE, PROPANE, BUTYLPHENYL METHYLPROPIONAL, COUMARIN, LINALOOL, HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE, ALPHAISOMETHYL IONONE.|0,13l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Intesa deodorant Guarana 125ml|ALOCOHOL DENAT., DIMETHYL ETHER, BUTANE, ISOBUTANE, PARFUM, C12-13 ALKYL LACTATE, PROPANE, PAULLINIA, CUPANA SEED EXTRACT, AQUA, PROPYLNE GLYCOL, LIMONENE, COUMARIN, CITRONELLOL, LINALOOL, HYDROXYSOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE, CINNAMAL, CITRAL|0,13l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Jodirana rafinirana morska sol|natrijev klorid 97,00 %, kalijev jodid, kalijev ferocianid.|1kg|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|97,90 g
ŠIPEK SADNI ČAJ|plodovi šipka 75%, cvetovi hibiskusa 25%.|60g|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
KAMILICA ZELIŠČNI ČAJ|cvetovi kamilice.|20g|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
GORSKI ČAJ. ZELIŠČNI ČAJ.|plodovi šipka 34,00 %, listi robide 20,00 %, plodovi črnega trna 18,00 %, cvetovi lipe 13,00 %, plodovi jerebike 10,00 %, poprova meta 5,00 %.|44g|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
Hibiskus zeliščni čaj|cvetovi hibiskusa.|80g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Osvežilna gazirana brezalkoholna pijača s sokom pomaranče.|naravna mineralna voda, sladkor, sok pomaranče iz zgoščenega soka 3,00 %, ogljikov dioksid, kislina: citronska kislina, koncentrirani izvleček pomaranče, antioksidant: askorbinska kislina, konzervans: kalijev sorbat, stabilizator: guar gumi, barvilo: beta karoten, naravna aroma.|1,5l|38,00|0,00 g|0,00 g|9,50 g|9,10 g|0,0 g|0,00 g|0,00 g
Osvežilna gazirana brezalkoholna pijača s sokom pomaranče.|naravna mineralna voda, sladkor, sok pomaranče iz zgoščenega soka 3,00 %, ogljikov dioksid, kislina: citronska kislina, koncentrirani izvleček pomaranče, antioksidant: askorbinska kilsina, konzervans: kalijev sorbat, stabilizator: guar gumi, barvilo: beta karoten, naravna aroma.|0,5l|38,00|0,00 g|0,00 g|9,50 g|9,10 g|0,0 g|0,00 g|0,01 g
Instant čokoladni napitek iz manj mastnega kakava s kalcijem in vitamini|sladkor, manjmasten kakav prah 19,00 %, dekstroza, EMULGATOR: SOJIN LECITIN, kalcijev karbonat, arome, jedilna sol, vitamini.|500g|368,00|2,00 g|1,20 g|80,30 g|78,60 g|0,0 g|4,30 g|0,17 g
Instant čokoladni napitek iz manj mastnega kakava s kalcijem in vitamini|sladkor, manjmasten kakav prah 19,00 %, dekstroza, EMULGATOR: SOJIN LECTIN, kalcijev karbonat, arome, jedilna sol, vitamini.|400g|368,00|2,00 g|1,20 g|80,30 g|78,60 g|0,0 g|4,30 g|0,17 g
Pasterizirano svetlo pivo, alk. 5,0 vol. %|voda, JEČMENOV SLAD, hmelj.|0,5l|42,00|0,05 g|0,05 g|2,70 g|0,01 g|0,0 g|0,50 g|0,04 g
